1,1,5,27835, - Mx 1553#45,1,,0,0,0,2,7,8,9,11,13,13,14,14,15,17,19,21,27,30,38,46,48,50,55,55,59,54,58,60,69,66,72,58,52,,10,15,15,15,15,15,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,A,,F,,,,,,,,,,
1,1,6,ABR 15 FS B1-R1 C6, - Goliath,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
1,1,7,27852, - Mx 1553#28,1,,0,0,1,2,2,2,2,2,4,4,4,4,5,5,5,5,9,10,11,14,15,17,17,18,21,19,25,28,35,37,51,48,48,,10,10,10,15,15,15,15,20,25,25,25,25,30,30,30,35,40,40,40,40,40,40,40,40,40,40,45,,,,,,,,,,,,,A,,,,
1,1,8,27861, - Mx 1553#79,1,,0,0,0,1,1,2,2,2,2,3,3,3,4,4,4,4,5,5,5,5,6,7,8,8,9,10,11,12,16,16,22,18,20,,15,15,20,20,20,20,15,25,25,25,25,40,40,35,35,35,40,40,40,40,40,45,45,45,45,45,45,,,,,,A,,F,,,,,,,,,
1,1,9,27870, - Mx 1553#105,1,,0,1,2,2,2,2,2,4,4,4,4,4,5,5,6,7,9,10,11,13,13,14,15,15,15,14,14,15,17,18,18,18,19,,20,25,30,25,30,30,30,30,30,30,30,35,35,30,30,30,30,30,30,30,25,25,25,25,25,25,25,,,,,,A,,,,,,,,,,,
1,1,10,27878, - Mx 1553#48,1,,0,1,1,3,3,1,3,4,4,5,6,6,8,9,9,9,10,10,13,20,24,29,33,33,35,37,38,42,50,51,54,60,59,,15,15,15,15,20,20,20,20,25,25,30,30,35,35,40,40,45,50,50,50,50,50,50,50,50,50,50,,,,,,,,,,,A,F,,,,,
1,1,11,27887, - Mx 1553#120,1,,5,6,13,9,8,10,11,15,18,21,24,23,31,31,35,51,56,64,81,89,86,96,107,110,123,127,128,147,176,214,223,219,210,,10,15,15,15,15,15,15,15,20,20,20,25,25,25,25,30,30,30,30,30,35,35,35,35,35,35,35,,,,,,,,,,,A,F,,,,,
1,1,12,27895, - Mx 1553#74,1,,0,0,0,1,2,1,2,3,2,2,3,5,6,6,6,11,12,16,21,25,28,30,34,33,38,39,41,45,52,49,52,59,54,,5,5,10,10,15,15,15,20,25,25,25,30,35,35,40,40,45,45,50,55,60,60,55,55,50,50,50,,,,,,,A,,,,F,,,,,,
1,2,12,ABR 15 FS B1-R2 C12, - Goliath,1,,1,1,2,1,2,2,2,3,3,3,3,3,3,3,4,7,7,8,10,10,10,11,11,14,17,17,18,20,27,24,23,25,22,,15,20,25,30,30,30,35,40,45,50,50,55,60,65,65,70,75,70,65,70,70,70,70,70,65,65,65,,,,,,A,,F,,,,,,,,,
1,2,11,ABR 15 FS B1-R2 C11, - Goliath,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
1,2,10,27879, - Mx 1553#4,1,,0,1,3,4,8,9,11,12,13,13,14,14,15,21,23,29,34,39,38,43,43,48,50,49,51,52,53,54,63,66,73,78,80,,15,15,20,20,20,20,20,25,30,30,30,35,40,45,50,50,50,50,55,60,60,60,60,60,60,60,60,,,,,,,,,,,A,,F,,,,
1,2,9,27871, - Mx 1553#77,1,,0,2,5,8,13,11,10,14,14,15,18,19,19,20,24,29,40,42,45,48,51,55,55,56,57,59,60,61,83,79,83,89,91,,20,20,25,25,25,25,25,25,30,30,35,35,40,40,45,45,50,50,50,50,50,50,50,50,50,50,50,,,,,,A,,,F,,,,,,,,
1,2,8,27862, - Mx 1553#110,1,,0,4,6,6,5,5,3,6,5,6,6,6,7,7,9,11,13,16,18,24,25,29,30,31,36,35,37,45,51,57,65,74,74,,15,15,15,15,15,15,20,20,25,30,30,30,35,35,35,40,40,40,40,40,40,45,45,45,45,45,45,,,,,,,,,,,F,,,,,,
1,2,7,27853, - Mx 1553#6,1,,0,0,1,4,5,3,4,4,2,3,4,10,14,14,14,19,23,23,24,26,30,31,31,33,34,34,35,37,55,58,58,66,61,,10,5,5,10,10,10,10,15,15,15,15,20,25,25,30,30,30,30,35,40,40,45,45,45,45,45,45,,,,,,,,,,,F,,,,,,
1,2,6,27844, - Mx 1553#36,1,,0,0,3,2,7,6,6,6,8,8,10,9,9,10,12,16,19,20,21,23,25,27,28,28,31,32,31,32,44,48,45,55,56,,25,25,30,30,35,35,35,35,40,40,45,50,50,50,55,60,65,65,65,70,70,70,70,75,75,75,75,,,,,,,,,,,,A,F,,,,
1,2,5,27836, - Mx 1553#43,1,,0,0,0,0,0,0,0,1,2,3,3,5,5,5,5,5,5,5,6,9,11,14,15,16,18,19,23,26,28,34,37,37,38,,,5,5,10,15,15,15,20,25,25,30,30,30,30,35,40,45,50,50,50,55,55,50,50,50,45,45,,,,,,,,,,A,,F,,,,,
1,2,4,27828, - Mx 1553#3,1,,3,3,4,6,6,5,6,10,10,9,9,11,13,13,13,16,19,25,26,27,27,28,29,29,29,30,32,31,40,55,55,58,57,,15,15,20,20,25,20,25,25,25,30,35,35,35,35,40,40,40,40,40,45,45,50,50,50,50,50,50,,,,,,,,,,,,,,A,,,
1,2,3,27820, - Mx 1553#116,1,,1,1,8,7,8,9,10,10,12,16,17,20,24,24,27,28,32,34,39,44,48,49,56,62,65,69,71,79,113,106,104,110,107,,20,25,25,25,25,25,25,25,25,25,25,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,
1,2,2,27811, - Mx 1553#55,1,,0,1,3,2,4,5,5,4,4,4,4,4,4,4,4,5,6,6,6,7,7,8,9,8,9,10,12,12,12,15,16,15,13,,20,25,25,25,25,25,30,30,35,30,30,35,40,40,40,40,45,45,45,45,45,40,30,30,30,30,30,,,,,,,A,,,F,,,,,,,
1,2,1,27802, - Mx 1553#12,1,,2,2,3,2,5,4,5,6,7,8,8,11,12,12,13,17,19,23,27,31,32,37,37,43,51,53,59,66,80,98,98,104,103,,20,25,30,30,35,30,35,35,40,40,40,40,40,40,45,50,55,55,55,60,60,60,55,55,55,55,55,,,,,,A,F,,,,,,,,,,
1,3,1,27803, - Mx 1553#47,1,,0,0,5,3,6,7,7,9,9,11,10,9,12,16,24,35,43,47,54,58,59,70,70,73,74,75,79,83,97,97,104,106,106,,20,20,30,30,30,30,30,30,35,35,40,45,50,45,50,50,55,55,55,55,55,55,60,60,60,60,60,,,,,,,A,,F,,,,,,,,
1,3,2,27812, - Mx 1553#115,1,,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,3,7,8,10,10,9,11,12,12,13,15,15,16,16,18,17,17,,,10,5,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,25,25,25,25,25,,,,,A,,,F,,,,,,,,,
1,3,3,27821, - Mx 1553#66,1,,0,1,2,2,5,4,3,1,1,1,4,4,5,5,5,6,7,7,8,8,8,10,10,10,11,11,13,14,22,23,26,26,23,,,5,5,10,10,10,15,15,15,15,20,20,25,25,30,30,30,30,30,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,,,,
1,3,4,ABR 15 FS B1-R3 C4, - Goliath,1,,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,4,4,4,4,5,7,8,8,8,7,7,9,8,8,,,5,5,10,15,20,25,30,35,35,40,45,45,50,55,60,60,60,60,60,50,50,50,50,50,50,50,,,,,,,,,,,A,,F,,,,
1,3,5,27837, - Mx 1553#23,1,,2,2,3,3,5,5,4,1,3,4,5,5,9,10,13,15,16,17,17,17,21,24,27,30,33,32,34,35,38,40,40,39,38,,,15,20,25,25,25,25,30,30,40,40,40,40,40,50,50,55,55,55,55,60,60,60,60,55,55,55,,,,,,,,A,,,F,,,,,,
1,3,6,27845, - Mx 1553#37,1,,0,0,3,4,5,5,7,8,7,9,9,9,9,10,10,11,14,19,23,29,30,32,33,34,35,37,39,41,52,49,48,54,51,,20,20,20,25,25,25,25,25,25,25,30,30,30,30,35,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,A,F,,,,,
1,3,7,27854, - Mx 1553#71,1,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,4,4,5,6,6,6,6,6,6,6,9,9,9,11,10,9,,5,10,15,15,15,20,20,20,25,25,30,30,35,35,35,40,40,40,40,40,35,35,35,35,35,35,35,,,,,,,,,,,A,F,,,,,
1,3,8,27863, - Mx 1553#109,1,,1,1,1,1,5,6,5,6,8,9,9,9,10,11,11,17,20,24,28,28,29,32,34,37,38,36,39,44,48,73,73,68,66,,15,15,15,15,15,20,20,20,25,30,30,35,40,40,40,45,45,45,45,45,50,50,50,50,50,50,50,,,,,,,,,,,A,,,,,,
1,3,9,27872, - Mx 1553#89,1,,0,0,0,0,2,4,4,5,5,6,7,7,8,10,11,13,14,15,17,21,22,26,28,33,35,33,38,39,50,50,59,60,64,,10,15,15,15,20,15,20,20,25,25,25,30,35,35,35,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,A,,,F,,,,,,,,
1,3,10,27880, - Mx 1553#73,1,,0,0,1,1,2,1,2,2,2,3,3,4,6,7,8,10,11,14,14,14,15,17,20,20,24,27,29,30,46,40,47,47,54,,20,20,25,25,25,30,30,30,30,35,35,35,40,40,45,50,50,50,50,50,45,50,50,50,45,45,45,,,,,,A,,,F,,,,,,,,
1,3,11,27888, - Mx 1553#7,1,,0,0,4,3,8,7,9,8,9,10,10,10,16,23,24,30,31,32,39,41,45,49,54,58,62,65,66,70,75,91,86,84,84,,10,10,10,10,10,10,15,15,15,20,20,20,20,25,25,25,25,25,30,35,35,35,35,35,30,30,30,,,,,,,,,,,A,,F,,,,
1,3,12,27896, - Mx 1553#2,1,,2,2,4,4,5,5,6,4,5,5,5,6,10,11,11,13,14,17,17,19,20,21,21,22,23,23,23,23,28,30,33,34,35,,15,15,20,20,25,25,25,25,30,35,35,35,40,45,50,45,45,45,45,45,50,50,50,50,50,50,50,,,,,,,,A,,,F,,,,,,
1,4,12,27897, - Mx 1553#10,1,,8,10,15,7,7,7,10,15,17,20,21,23,26,27,27,30,33,37,34,49,54,61,63,61,61,59,67,67,84,87,103,99,104,,15,20,25,25,25,25,25,30,30,30,35,35,35,40,40,50,50,50,50,50,55,55,55,55,55,55,55,,,,,,,,A,,F,,,,,,,
1,4,11,27889, - Mx 1553#103,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
1,4,10,27881, - Mx 1553#20,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,dead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
1,4,9,27873, - Mx 1553#5,1,,0,0,0,0,1,2,2,2,4,4,4,5,7,7,6,7,10,10,12,13,13,13,17,17,21,20,22,22,27,27,28,28,28,,5,5,5,10,10,10,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,
1,4,8,27864, - Mx 1553#80,1,,7,8,10,12,12,5,8,11,12,13,16,19,24,27,31,34,39,42,40,52,62,68,70,76,80,83,87,94,97,106,106,107,106,,15,15,20,25,25,20,20,25,25,25,30,30,35,35,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,A,,F,,,,,,,,,,,
1,4,7,27855, - Mx 1553#86,1,,0,0,0,1,3,4,5,5,5,5,5,5,6,5,5,8,10,13,17,17,17,17,17,18,18,18,18,20,28,28,29,27,29,,15,20,20,20,25,25,25,25,25,25,25,25,25,25,25,30,30,30,30,30,30,30,35,35,35,35,35,,,,,,,,A,,,F,,,,,,
1,4,6,27846, - Mx 1553#90,1,,0,0,0,0,0,0,1,2,2,1,1,1,1,2,3,3,3,2,3,3,3,3,3,4,4,4,6,7,9,8,10,9,9,,5,5,5,10,15,10,15,15,15,15,15,15,15,15,15,20,20,20,20,25,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,
1,4,5,27838, - Mx 1553#15,1,,0,0,1,1,2,2,2,2,2,2,3,3,3,3,3,3,7,8,9,11,11,11,12,12,14,14,15,14,19,20,23,23,23,,20,25,25,25,30,25,30,30,30,25,30,30,40,40,45,45,45,45,45,45,45,40,40,40,40,40,40,,,,,A,F,,,,,,,,,,,
1,4,4,27829, - Mx 1553#32,1,,0,0,0,0,1,1,1,1,1,1,2,2,3,4,6,7,7,8,9,9,10,11,13,13,15,16,18,21,30,31,31,32,32,,10,15,15,15,15,15,15,15,20,15,20,25,25,25,25,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,
1,4,3,27822, - Mx 1553#61,1,,0,0,1,3,4,4,4,4,4,4,4,4,5,8,11,13,14,15,16,19,23,23,25,27,27,27,28,29,38,39,48,47,46,,15,20,25,25,25,30,30,35,40,40,40,40,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,A/ F,F,,,,,,
1,4,2,27813, - Mx 1553#75,1,,0,1,1,1,2,2,2,2,2,1,2,2,2,3,3,4,6,6,6,7,8,9,11,11,16,16,16,17,18,18,18,17,20,,15,15,20,25,25,30,30,25,30,30,30,30,30,35,35,35,35,35,35,35,36,35,35,35,35,35,35,,,,,,,,,,,A,,F,,,,
1,4,1,27804, - Mx 1553#24,1,,2,3,6,6,8,10,11,12,13,14,15,16,19,18,23,31,34,40,47,52,53,58,63,68,67,68,70,74,88,95,100,100,101,,20,20,25,30,30,30,30,30,30,30,30,35,35,40,45,50,50,50,55,60,60,60,60,60,60,60,60,,,,A,,F,,,,,,,,,,,
1,5,1,27805, - Mx 1553#17,1,,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,1,2,3,6,6,7,7,7,7,8,8,10,11,19,21,22,22,22,,15,15,15,20,15,15,20,25,20,25,25,30,30,35,40,40,45,45,45,50,50,50,50,50,50,50,50,,,,,,,A,,,,,,A,,F,,
1,5,2,27814, - Mx 1553#97,1,,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,5,6,6,6,6,7,7,8,11,17,16,16,16,14,,15,15,20,20,20,20,15,20,20,20,25,30,30,35,35,40,40,40,40,45,45,45,45,45,45,45,45,,,,,,A,,,F,,,,,,,,
1,5,3,27823, - Mx 1553#57,1,,0,0,4,2,3,4,5,5,5,7,7,10,14,14,15,16,16,20,21,21,21,23,24,25,25,26,25,29,31,32,34,33,33,,20,20,25,20,20,25,30,25,30,25,30,30,35,35,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,F,,,,,,,,,
1,5,4,27830, - Mx 1553#67,1,,0,0,0,3,4,5,5,6,7,7,6,8,8,11,13,14,16,18,20,21,23,23,23,23,23,23,23,22,29,29,27,29,26,,15,15,15,20,20,20,20,20,20,20,25,25,25,30,30,30,35,35,35,35,40,40,40,40,40,40,40,,,,,,,,,,,,,,,,,
1,5,5,27839, - Mx 1553#88,1,,2,4,5,5,5,4,4,5,6,6,6,6,7,8,10,11,11,13,14,16,19,20,21,22,27,27,27,28,36,43,45,44,48,,15,15,20,25,20,25,30,25,30,30,35,35,35,35,40,40,40,40,45,45,45,45,45,45,45,45,45,,,,,,A,,F,,,,,,,,,
1,5,6,27847, - Mx 1553#51,1,,0,0,3,3,4,4,6,6,12,12,13,13,17,17,19,22,19,26,26,27,29,33,39,40,43,42,42,44,47,46,42,46,42,,15,20,20,20,20,20,25,25,25,25,25,25,25,25,25,25,25,25,25,20,20,20,25,25,25,25,25,,,,,,,,,,,,,,,,,
1,5,7,27856, - Mx 1553#94,1,,0,0,2,1,1,2,3,7,7,7,8,10,10,10,11,14,14,15,17,17,23,24,25,27,27,27,27,27,28,34,38,38,33,,10,15,15,15,15,15,20,20,25,25,25,25,30,30,35,35,40,40,40,40,40,45,45,45,45,50,50,,,,,,,,,,A,,F,,,,,
1,5,8,27865, - Mx 1553#8,1,,1,1,1,1,3,3,3,5,5,5,6,7,7,7,8,9,11,18,22,24,30,31,37,36,38,38,38,41,61,59,61,62,69,,20,25,30,35,35,30,35,30,35,35,35,40,45,45,45,45,45,45,50,50,50,50,50,50,50,50,50,,,,,,,,,,,,,,,,,
1,5,9,27874, - Mx 1553#22,1,,1,3,9,7,10,9,9,12,14,14,16,19,19,22,28,39,49,54,60,63,69,73,74,75,76,79,81,85,96,116,114,114,114,,25,25,25,25,25,25,30,30,30,35,40,35,40,45,50,50,50,50,50,50,50,50,50,50,50,50,50,,,,,,A,,F,,,,,,,,,
1,5,10,27882, - Mx 1553#92,1,,0,2,4,9,11,11,12,9,9,10,9,11,20,25,29,35,32,40,41,48,50,56,62,69,73,76,83,83,103,116,118,120,123,,10,15,15,20,20,15,25,25,25,30,30,30,30,40,40,45,45,45,50,50,55,55,55,55,50,50,50,,,,,,,,A,,,F,,,,,,
1,5,11,27890, - Mx 1553#84,1,,0,0,0,0,1,1,1,1,1,1,2,2,2,3,4,5,8,8,7,8,8,7,8,8,8,11,11,12,14,14,14,18,18,,10,15,15,15,15,15,20,20,20,20,20,20,25,25,30,30,35,35,40,40,40,40,40,40,40,40,40,,,,,,,,,,,A,,F,,,,
1,5,12,27898, - Mx 1553#60,1,,9,11,16,12,8,16,16,19,19,18,21,25,29,35,38,43,49,53,60,62,64,72,80,78,90,93,102,105,119,122,121,120,124,,10,15,15,20,20,20,25,25,25,25,30,30,35,35,35,40,40,40,40,45,50,50,45,45,45,45,45,,,,,,,,,,A,,,,,,,
1,6,12,27899, - Mx 1553#82,1,,0,0,1,0,2,1,2,5,4,4,5,6,5,7,8,8,13,15,20,24,27,29,35,36,54,57,65,72,87,98,110,114,119,,20,20,15,20,20,20,25,25,30,30,30,30,35,35,40,50,50,50,50,50,55,60,60,65,65,65,65,,,,,,,,,,,,,,A,,,
1,6,11,27891, - Mx 1553#104,1,,1,3,3,2,4,4,3,2,1,2,3,3,3,16,4,4,4,7,7,8,9,10,13,14,16,17,17,19,19,20,22,20,21,,15,10,5,10,10,15,20,20,20,20,20,25,30,30,35,35,35,35,40,45,45,45,45,45,45,45,40,,,,,,,,A,,F,,,,,,,
1,6,10,27883, - Mx 1553#59,1,,0,1,1,1,1,2,2,5,5,6,6,6,6,6,8,9,10,12,13,15,16,17,18,21,22,22,25,26,33,37,38,41,39,,10,15,15,15,20,15,15,15,15,15,15,15,20,20,25,25,25,25,25,25,25,25,25,25,25,25,25,,,,,,,,,,,,A,,,,,
1,6,9,27875, - Mx 1553#119,1,,3,5,6,4,5,5,3,5,5,6,6,5,8,9,11,13,17,18,21,25,24,28,30,33,41,40,48,48,63,67,67,64,66,,10,15,20,20,20,20,25,20,30,25,30,30,35,35,40,40,45,45,45,50,50,50,50,50,50,45,45,,,,,,,,A,,F,,,,,,,
1,6,8,27866, - Mx 1553#98,1,,1,1,4,5,4,4,3,4,5,6,9,11,9,11,11,15,15,15,21,29,30,31,32,38,38,40,42,51,62,76,75,73,72,,15,20,20,25,25,20,25,30,30,30,25,30,30,25,30,35,35,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,A,,,
1,6,7,27857, - Mx 1553#39,1,,4,5,6,3,4,5,4,4,4,5,7,8,8,10,14,17,24,24,25,26,28,31,31,35,40,40,44,50,61,65,67,71,72,,20,25,30,25,30,30,35,40,40,40,45,50,55,55,60,60,60,65,65,65,65,65,70,70,70,70,70,,,,,,,,,,,F,,,,,,
1,6,6,27848, - Mx 1553#78,1,,0,0,0,0,1,3,4,5,5,5,5,5,5,5,5,5,5,7,10,13,13,14,15,16,16,16,16,17,19,20,18,18,17,,10,15,15,10,15,15,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,
1,6,5,27840, - Mx 1553#118,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
1,6,4,27831, - Mx 1553#95,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
1,6,3,27824, - Mx 1553#117,1,,0,0,4,4,5,4,5,6,8,6,8,11,10,11,13,19,24,26,27,29,31,32,35,36,36,36,38,38,46,48,48,50,51,,15,15,15,15,15,15,20,20,25,25,30,30,30,35,40,40,45,45,45,45,45,45,45,45,45,45,45,,,,,,A,,F,,,,,,,,,
1,6,2,ABR 15 FS B1-R6 C2, - Mx 1553#112,1,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,6,9,10,8,7,,,5,5,10,10,10,15,15,15,15,15,15,15,15,20,20,20,20,20,25,25,25,30,30,30,30,30,,,,,,,,,,,,,,,,,
1,6,1,27806, - Mx 1553#102,1,,0,0,1,0,1,2,3,3,3,3,4,5,5,5,7,11,14,16,18,18,18,21,22,23,24,25,25,25,29,33,33,31,33,,15,20,25,20,20,20,25,25,25,25,30,30,35,35,40,40,45,45,45,45,45,45,45,45,45,45,45,,,,,,A,,,F,,,,,,,,
1,7,1,27807, - Mx 1553#76,1,,2,2,3,2,2,2,4,8,9,9,9,8,9,10,10,14,16,17,17,17,21,21,24,27,31,30,32,34,34,34,32,30,30,,15,20,20,25,25,25,30,30,30,30,30,35,40,40,40,45,45,50,50,45,45,45,40,40,40,35,35,,,,,,,A,,,F,,,,,,,
1,7,2,27816, - Mx 1553#113,1,,0,0,0,0,0,2,2,2,2,3,3,3,4,4,4,5,6,8,8,7,14,17,18,19,22,22,22,23,28,31,31,30,30,,15,15,15,15,20,20,20,20,20,20,20,30,30,35,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,A,,,F,,,,,,,,
1,7,3,ABR 15 FS B1-R7 C3,Giganteus,1,,0,0,0,0,0,1,2,4,4,4,4,4,5,5,6,8,10,12,15,16,18,18,19,22,27,29,31,34,43,46,48,47,48,,10,10,15,15,15,20,20,20,20,20,20,20,20,25,25,40,35,35,35,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,,,,
1,7,4,27832, - Mx 1553#42,1,,0,3,5,6,5,4,4,5,6,8,10,10,10,11,12,12,17,19,28,32,32,35,36,40,45,41,48,48,48,52,52,44,46,,15,15,15,20,20,15,25,25,25,20,20,20,25,25,25,30,30,30,30,30,30,30,25,25,25,25,25,,,,,,A,,,,F,,,,,,,
1,7,5,27841, - Mx 1553#40,1,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,5,5,5,5,6,7,7,7,11,10,12,11,11,,10,10,5,10,15,15,25,25,25,25,30,30,30,30,30,30,35,35,35,35,30,30,30,30,30,30,30,,,,,,,,,,,A,,,,,,
1,7,6,27849, - Mx 1553#68,1,,0,0,0,0,0,7,8,8,8,7,8,9,12,14,15,17,20,22,22,22,23,24,24,25,26,28,26,27,28,28,28,29,27,,5,5,10,15,15,15,25,20,20,20,20,20,20,20,25,25,25,25,30,30,30,30,30,30,25,25,25,,,,,,,,,,,,,A,F,,,
1,7,7,27858, - Mx 1553#14,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,5,5,9,11,11,14,18,26,24,23,,,,0,0,0,5,5,5,10,10,10,10,15,15,15,15,20,20,20,20,20,20,25,25,25,25,25,,,,,,,,,,,,,A,,,,
1,7,8,27867, - Mx 1553#69,1,,1,1,1,1,1,1,2,2,4,5,5,5,5,6,6,9,10,10,11,11,19,23,26,26,34,39,43,48,71,79,77,77,78,,15,20,25,30,30,25,30,30,35,35,35,35,40,40,45,45,50,50,50,55,55,55,55,55,55,55,55,,,,,,,,A,,F,,,,,,,
