,,,,,,SP,,,SLH,,SP,KR,STJ,STJ,,,,SP,
1,3,4,ABR 15 FS B1-R3 C4, - Goliath,1,6.3,6.3,8.1,10,20,8,7,1,318,,,,77.5,61
1,3,5,27837, - Mx 1553#23,1,6,6.4,5.4,0,30,16,16,6,,,318,,82,99
1,3,6,27845, - Mx 1553#37,1,6.7,6.5,6.5,10,45,14,11,5,,318,,,76,65
1,3,7,27854, - Mx 1553#71,1,4.6,5.1,5.9,0,30,12,10,2,318,,,,73.5,72.5
1,3,8,27863, - Mx 1553#109,1,3.7,5.7,4.8,0,20,15,13,8,,,,,59,
1,3,9,27872, - Mx 1553#89,1,4.9,5.7,4.9,10,30,16,15,10,,318,,,75,78.5
1,3,10,27880, - Mx 1553#73,1,6.4,6.9,6.3,0,20,15,13,9,,318,,,84,84.5
1,3,11,27888, - Mx 1553#7,1,5.5,4.5,4.7,0,30,16,15,8,318,,,,67,63
1,3,12,27896, - Mx 1553#2,1,6.2,6.2,6.8,0,20,14,20,8,318,,,,79,80
1,4,12,27897, - Mx 1553#10,1,6.6,6.3,5.2,0,30,27,27,9,318,,,,86,81
1,4,11,27889, - Mx 1553#103,1,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
1,4,10,27881, - Mx 1553#20,1,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
1,4,9,27873, - Mx 1553#5,1,5.6,3.7,4.1,0,10,10,8,3,,,,318,10,
1,4,8,27864, - Mx 1553#80,1,4.7,5,5.2,0,25,30,22,10,,,318,,77.5,71
1,4,7,27855, - Mx 1553#86,1,5.3,4.4,4.2,0,30,14,12,8,,318,,,69,70
1,4,6,27846, - Mx 1553#90,1,7.6,6.3,8.2,40,40,20,17,1,,,,,30,
1,4,5,27838, - Mx 1553#15,1,5.3,5.5,6.4,20,30,21,25,3,,,318,318,111,103
1,4,4,27829, - Mx 1553#32,1,5,6,3.9,0,20,11,10,5,,,,,37,
1,4,3,27822, - Mx 1553#61,1,5.6,4.9,5,0,30,12,13,5,318,,,318,81,87
1,4,2,27813, - Mx 1553#75,1,7.7,6.5,6.5,10,35,13,12,2,318,,,,63,59
1,4,1,27804, - Mx 1553#24,1,5.5,4.8,4.8,20,35,20,19,9,,,318,,117,112.5
1,5,1,27805, - Mx 1553#17,1,7,5.9,6.7,0,18,19,19,4,318,,,,65.5,57
1,5,2,27814, - Mx 1553#97,1,5.8,6.8,5.2,10,20,15,10,4,,,318,,81.7,82
1,5,3,27823, - Mx 1553#57,1,6.5,5.8,7.7,20,45,31,33,6,,,318,,79,77
1,5,4,27830, - Mx 1553#67,1,5.7,7.1,4.4,0,20,16,11,4,,,,,36,
1,5,5,27839, - Mx 1553#88,1,5.7,5.5,5,0,20,19,18,7,,318,,,71,64
1,5,6,27847, - Mx 1553#51,1,5.3,4,5,0,50,10,10,6,,,,318,27,
1,5,7,27856, - Mx 1553#94,1,4.9,5.2,5.3,0,20,16,16,4,,318,,,96,93
1,5,8,27865, - Mx 1553#8,1,5,6.1,6.8,0,20,18,19,11,,,,,49,
1,5,9,27874, - Mx 1553#22,1,5.3,5.5,5.8,0,30,22,22,11,,318,,,99,100
1,5,10,27882, - Mx 1553#92,1,6.4,7.3,6,0,20,23,20,5,318,,,,82.5,77
1,5,11,27890, - Mx 1553#84,1,5.8,5.9,5.5,10,20,10,7,3,318,,,,69,64
1,5,12,27898, - Mx 1553#60,1,4.5,4.9,4.2,0,30,22,17,10,,,,,46,
1,6,12,27899, - Mx 1553#82,1,6.3,5.5,5.7,0,20,19,20,13,,,,,72,
1,6,11,27891, - Mx 1553#104,1,7.1,5.5,6.7,10,20,19,19,4,318,,,,67,66
1,6,10,27883, - Mx 1553#59,1,5.1,6,6,50,60,16,14,7,,,,,51,
1,6,9,27875, - Mx 1553#119,1,7,6.5,6,0,20,15,20,7,318,,,318,92.5,90.5
1,6,8,27866, - Mx 1553#98,1,5.3,5.3,4,0,40,26,19,6,,,,,40.5,
1,6,7,27857, - Mx 1553#39,1,6.5,6,6.1,0,15,14,15,8,,318,,,95.5,89
1,6,6,27848, - Mx 1553#78,1,6,4.3,5.2,20,,7,5,4,,,,318,15,
1,6,5,27840, - Mx 1553#118,1,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
1,6,4,27831, - Mx 1553#95,1,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
1,6,3,27824, - Mx 1553#117,1,5.5,4.7,5.7,5,20,15,29,4,,318,,,81,79.5
1,6,2,ABR 15 FS B1-R6 C2, - Mx 1553#112,1,7.8,6.3,4.2,25,45,6,4,1,,,,318,20.5,
1,6,1,27806, - Mx 1553#102,1,7.3,6.3,4.7,10,20,14,11,6,,318,,,86,86
1,7,1,27807, - Mx 1553#76,1,5.5,4.6,4.8,10,20,13,12,4,,,318,318,84,87
1,7,2,27816, - Mx 1553#113,1,5.7,5.6,5.9,40,40,13,18,2,,318,,,107,104.5
1,7,3,ABR 15 FS B1-R7 C3,Giganteus,1,5.9,5.4,5.5,0,20,14,13,3,,,,,25,
1,7,4,27832, - Mx 1553#42,1,4.6,4.8,5.2,0,20,11,14,2,,318,,318,66,61
1,7,5,27841, - Mx 1553#40,1,4,6,5.2,0,20,11,7,2,,,,,32,
1,7,6,27849, - Mx 1553#68,1,5.3,5.2,5.7,20,30,11,9,4,318,,,318,41,36
1,7,7,27858, - Mx 1553#14,1,5.7,4.6,5.8,0,50,12,6,1,,,,,40,
1,7,8,27867, - Mx 1553#69,1,5.4,6.1,5.5,10,20,18,15,5,318,,,,95,91
1,7,9,27876, - Mx 1553#16,1,5,7.3,5.9,0,20,20,18,5,,,318,,61,71
1,7,10,27884, - Mx 1553#81,1,3.4,4.4,4.9,10,20,9,12,1,,,318,318,70,71
1,7,11,27892, - Mx 1553#26,1,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
1,7,12,27900, - Mx 1553#44,1,5.1,5,5.3,35,70,18,15,6,,,,,33,
1,8,12,27901, - Mx 1553#91,1,5.5,6.7,7.2,0,10,15.5,15,6,,,,,49,
1,8,11,27893, - Mx 1553#99,1,7.2,7.5,6.3,0,10,17,17,7,318,,,,90,81
1,8,10,27885, - Mx 1553#72,1,6.1,6,5.8,10,30,19,16,5,318,,,,85,88
1,8,9,27877, - Mx 1553#18,1,5.4,5.4,5.2,10,25,20,19,12,,,318,,91,88
1,8,8,27868, - Mx 1553#93,1,5.9,5.1,5.6,10,20,19,18,13,,318,,,98,91
1,8,7,27859, - Mx 1553#41,1,7.6,5.5,5.5,0,50,15,13,8,,,,,65,
1,8,6,27850, - Mx 1553#53,1,7.6,5,4.9,30,10,21,20,9,,,318,,99,96
1,8,5,27842, - Mx 1553#70,1,4.8,6,5,0,20,33,28,5,318,,,,97,94
1,8,4,27833, - Mx 1553#34,1,5.6,5.1,4.3,5,20,17,16,6,318,,,,52,51
1,8,3,27825, - Mx 1553#19,1,5,4.2,4.2,0,25,18,16,8,318,,,,73.5,73.3
1,8,2,27817, - Mx 1553#108,1,5.4,5.3,5.4,0,35,26,24,6,,,318,,100,95
1,8,1,27808, - Mx 1553#27,1,5.7,5.3,5.9,0,30,13,16,6,,,,318,30,
1,9,1,27809, - Mx 1553#50,1,4.2,5.9,6.2,45,65,9,7,-9999,-9999,-9999,-9999,-9999,17,
1,9,2,27818, - Mx 1553#11,1,7.2,7.3,5.3,0,20,15,15,4,,318,,,87,79
1,9,3,27826, - Mx 1553#100,1,3.7,4.3,5.3,0,0,8,10,4,,,318,,85.5,86
1,9,4,27834, - Mx 1553#35,1,5.7,5.8,6.7,0,25,14,13,7,,,,,43,
1,9,5,27843, - Mx 1553#46,1,6.1,6.2,6.4,10,30,16,14,3,318,,,,73,71
1,9,6,27851, - Mx 1553#63,1,5,6,5.8,10,50,19,15,3,318,,,,89,86
1,9,7,27860, - Mx 1553#9,1,5.4,4.5,5.1,0,25,8,12,2,,,,,43,40
1,9,8,27869, - Mx 1553#49,1,7.3,7.2,6.6,0,20,16,26,8,318,,,,80,78
1,9,9,ABR 15 FS B1-R9 C9, - Goliath,1,5.2,6.2,7.5,0,40,6,7,1,318,,,,57,45
1,9,10,27886, - Mx 1553#56,1,4.8,6.4,5.8,0,10,13,12,2,,,,,85,63
1,9,11,27894, - Mx 1553#87,1,6.3,5.5,5.7,0,10,17,11,5,,,,,74,
1,9,12,27902, - Mx 1553#96,1,5,7,4.6,10,30,18,15,4,,,318,,73,64
2,1,1,27903, - Mx 1553#10,2,6.5,5.5,5.7,10,45,25,23,4,,,318,,93,90
2,1,2,27912, - Mx 1553#59,2,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
2,1,3,27921, - Mx 1553#60,2,5.2,4.4,5.3,0,40,16,14,7,318,,,,74,67
2,1,4,27930, - Mx 1553#55,2,5.9,6.6,7.6,10,15,19,21,4,,318,,318,91,85
2,1,5,27939, - Mx 1553#104,2,7.1,6.6,5.8,5,20,19,17,4,,318,,318,85,79
2,1,6,27948, - Mx 1553#56,2,4.7,4.9,4.3,10,25,11,8,1,,318,,,82,73
2,1,7,27956, - Mx 1553#70,2,5.5,7.2,5.6,20,60,14,23,3,318,,,,95,90
2,1,8,ABR 15 FS B2-R1 C8, - Mx 1553#28,2,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
2,1,9,27973, - Mx 1553#68,2,7.2,4.4,6.3,0,20,14,10,4,,,318,318,86,83
2,1,10,27981, - Mx 1553#78,2,5,,,20,,0.5,1,1,,,,,11,
2,1,11,27990, - Mx 1553#94,2,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
2,1,12,27997, - Mx 1553#113,2,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
2,2,12,27998, - Mx 1553#86,2,5.2,5.5,6.9,5,15,22,22,3,318,,,,72,66
2,2,11,27991, - Mx 1553#115,2,5.1,3.7,5.1,10,20,18.5,21,3,,,318,318,74,74
2,2,10,27982, - Mx 1553#97,2,5.7,5.3,5.1,0,20,13,12,1,,,318,,89,95
2,2,9,27974, - Mx 1553#119,2,5.1,6,4.5,5,20,16,14,3,,318,,318,69,79
2,2,8,27966, - Mx 1553#40,2,4.3,4.8,5.1,0,10,16.5,18,9,,,,,48,
2,2,7,27957, - Mx 1553#117,2,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
2,2,6,27949, - Mx 1553#46,2,5.8,6.5,6.3,0,30,18,17,5,318,,,,66,58
2,2,5,27940, - Mx 1553#96,2,6.2,6.6,6.5,20,30,20,20,5,,,318,,91,82
2,2,4,27931, - Mx 1553#110,2,6.1,5.5,4.6,0,15,24,23,8,318,,,,88,84
2,2,3,27922, - Mx 1553#98,2,4.6,4.2,5.6,0,30,23,23,6,,,,,45,
2,2,2,27913, - Mx 1553#89,2,5.4,4.5,6.7,20,40,33,33,6,,318,,,91,99
2,2,1,27904, - Mx 1553#91,2,6.5,5.5,7.4,0,20,16,15,5,318,,,,61,55
2,3,1,27905, - Mx 1553#27,2,4.6,6.1,4.3,5,30,10.5,9,2,,,,,35,
2,3,2,27914, - Mx 1553#4,2,5.6,6.9,5.1,10,20,12,9,2,,318,,,81,86
2,3,3,27923, - Mx 1553#25,2,6,4.9,5.1,10,15,15,21,3,318,,,,65,56
2,3,4,27932, - Mx 1553#118,2,5.3,9.8,8.4,0,50,11,8,5,,,,,22,
2,3,5,27941, - Mx 1553#90,2,7.7,3.9,6.9,40,60,14,9,2,,,,,33,
2,3,6,27950, - Mx 1553#75,2,4.4,8,6.7,10,50,11,11,3,318,,,,47,29
2,3,7,27958, - Mx 1553#22,2,5.2,4.9,5.6,0,30,23,20,7,,318,,,77,102
2,3,8,27967, - Mx 1553#103,2,7.6,7.6,6.8,0,45,15,14,3,,318,,,71,67
2,3,9,27975, - Mx 1553#16,2,6,6.7,4.2,0,20,10,10,6,318,,,,49,49
2,3,10,27983, - Mx 1553#49,2,9.4,7.4,8.1,5,30,25,34,5,,,,,40,
2,3,11,27992, - Mx 1553#92,2,5.7,6,6.5,10,60,26,17,3,,318,,,85,80
2,3,12,ABR 15 FS B2-R3 C12, - Mx 1553#100,2,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
2,4,12,28000, - Mx 1553#35,2,4.6,7.6,6.1,10,20,17,20,3,,,,,59,
2,4,11,ABR 15 FS B2-R4 C11, - Goliath,2,8.3,6.9,7.8,0,20,18,14,1,,318,,,85,73
2,4,10,27984, - Mx 1553#102,2,5,6.2,6.7,0,10,19,19,5,,318,,,71,81
2,4,9,27976, - Mx 1553#72,2,5.4,6.4,6.7,10,40,11,16,2,318,,,,90,94
2,4,8,27968, - Mx 1553#79,2,6.9,5.4,6.1,25,30,15,15,3,318,,,,83,79
2,4,7,27959, - Mx 1553#6,2,4.6,4.5,3.9,0,20,10,8,3,,318,,,52,51
2,4,6,27951, - Mx 1553#50,2,6.5,4.8,6.2,0,30,15,14,6,,,,318,29,
2,4,5,27942, - Mx 1553#44,2,5.8,5.6,5.5,10,45,15,11,4,,,,,33,
2,4,4,27933, - Mx 1553#39,2,5.9,5.7,5.2,0,20,16,15,11,318,,,,79,82
2,4,3,27924, - Mx 1553#93,2,5.1,4.3,5.1,10,30,13,12,7,318,,,318,102,97
2,4,2,27915, - Mx 1553#84,2,5,5,7.2,20,20,13,10,6,,,318,,85.5,86
2,4,1,27906, - Mx 1553#77,2,6.5,6.2,5.9,0,15,17,18,9,,,318,,103,108
2,5,1,27907, - Mx 1553#47,2,5.7,6.8,7.5,0,20,20,21,7,,,318,,95,101
2,5,2,27916, - Mx 1553#43,2,7,7.2,7.7,0,25,25,23,4,,318,,,110,107
2,5,3,27925, - Mx 1553#88,2,6.4,6.6,6,10,25,21,23,7,318,,,,74,63
2,5,4,27934, - Mx 1553#108,2,5.3,4.4,5.3,20,30,22,21,8,,318,,318,98,93
2,5,5,27943, - Mx 1553#109,2,3.5,4.1,5.3,0,10,10,9,9,,,,,60.5,
2,5,6,27952, - Mx 1553#8,2,5.8,6.3,5.3,20,40,23.5,20,7,,,,,49,
2,5,7,27960, - Mx 1553#51,2,4.6,4.4,5.8,20,45,16,11,4,,,,318,30,
2,5,8,27969, - Mx 1553#24,2,5.7,4.6,6.6,5,25,19,17,7,,318,,,125,122
2,5,9,27977, - Mx 1553#14,2,6.5,5.8,6.6,15,30,27,28,7,,318,,,97,89
2,5,10,ABR 15 FS B2-R5 C10, - Mx 1553#15,2,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
2,5,11,ABR 15 FS B2-R5 C11, - Mx 1553#85,2,5,5.9,6.4,10,20,8,9,,,,,,33,
2,5,12,28001, - Mx 1553#7,2,5.3,4.4,5,5,20,19,15,9,318,,,,74,72
2,6,12,28002, - Mx 1553#87,2,5.8,6.4,5.8,5,15,17,15,2,,,,,62,
2,6,11,27993, - Mx 1553#11,2,5.8,6.2,7.1,0,45,17,17,3,318,,,,88,84
2,6,10,27986, - Mx 1553#36,2,6.7,6.1,6.1,0,20,19,20,5,318,,,,103,97
2,6,9,ABR 15 FS B2-R6 C9, - Goliath,2,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
2,6,8,ABR 15 FS B2-R6 C8, - Goliath,2,7.7,10.6,9.1,0,10,16.5,16,1,318,,,,78,82
2,6,7,27961, - Mx 1553#82,2,5.6,4.5,5.2,15,30,23,22,7,,,,,80,
2,6,6,27953, - Mx 1553#114,2,4.9,5.4,6.5,5,30,13,11,6,,,,,17,
2,6,5,27944, - Mx 1553#26,2,3.9,7.4,4.3,0,,5,3,-9999,-9999,-9999,-9999,-9999,8.5,
2,6,4,27935, - Mx 1553#3,2,5.8,8.9,8.4,10,45,23,23,2,,,,,47,
2,6,3,27926, - Mx 1553#74,2,4.9,5.8,5,5,30,15,19,3,318,,,,79,71
2,6,2,27917, - Mx 1553#9,2,5.5,5.7,6.2,5,30,13,10,4,,,,318,29,
2,6,1,27908, - Mx 1553#32,2,4.8,5.1,5,15,40,22,24,3,318,,,,72,
2,7,1,27909, - Mx 1553#18,2,5.7,5.5,4.4,0,45,16,17,7,,318,,,88,88
2,7,2,27918, - Mx 1553#53,2,6.3,5.1,4.4,0,20,16,17,5,,,318,,92,88
2,7,3,27927, - Mx 1553#80,2,5.3,5.9,5.7,20,35,14,12,5,,,318,,69,74.5
2,7,4,27936, - Mx 1553#17,2,4.9,6.9,4.2,25,1 stem,5,7,1,,,318,318,87,84
2,7,5,27945, - Mx 1553#66,2,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
2,7,6,27954, - Mx 1553#1,2,6.5,6.9,5.6,10,30,13,14,4,,,,,40,
2,7,7,27962, - Mx 1553#5,2,4.3,6.3,4.9,0,5,19,16,2,,,,,10,
2,7,8,27970, - Mx 1553#101,2,6,6.8,5.6,0,25,19,15,8,,,,,78,
2,7,9,27978, - Mx 1553#23,2,5.7,7.4,6.9,5,25,24,20,4,,,318,,87,92
2,7,10,27987, - Mx 1553#41,2,5.3,5,7,30,40,20,23,5,,,,,70,
2,7,11,27994, - Mx 1553#37,2,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
2,7,12,28003, - Mx 1553#42,2,5.8,5.8,3.7,10,20,18,17,3,,,318,318,87,89
2,8,12,28004, - Mx 1553#48,2,7,6,6.4,0,20,10,22,7,,,,,49,
2,8,11,27995, - Mx 1553#69,2,5,4.9,5,10,35,13,15,3,318,,,,86,89
2,8,10,27988, - Mx 1553#116,2,5.6,6,5,10,40,12.5,19,7,,,,,39,
2,8,9,27979, - Mx 1553#81,2,4.7,5.4,4.4,10,10,14,13,3,,318,,318,63,54
2,8,8,27971, - Mx 1553#57,2,7.5,6.4,7.4,10,50,11,20,5,,318,,,78,71
2,8,7,27963, - Mx 1553#73,2,6.8,7.3,7.8,5,40,22.5,21,5,,,318,,82,88
2,8,6,27955, - Mx 1553#76,2,4.1,4.5,5.6,10,35,12,8,4,,,318,318,79,73
2,8,5,27946, - Mx 1553#112,2,6.8,5.8,6.3,0,40,10,9,2,,,,318,27,
2,8,4,27937, - Mx 1553#67,2,0,,,0,,0,0,-9999,-9999,-9999,-9999,-9999,0,
2,8,3,27928, - Mx 1553#95,2,7.1,5.7,6.9,20,25,18,22,2,,,318,,85,76
2,8,2,27919, - Mx 1553#99,2,6.8,6.8,8.5,5,45,9,5,6,318,,,,91,86
2,8,1,27910, - Mx 1553#20,2,0,,,0,,0,0,,-9999,,,,0,
2,9,1,27911, - Mx 1553#11,2,5.1,4.8,7.5,25,30,7,5,2,318,,,318,92,83
2,9,2,27920, - Mx 1553#71,2,5.8,5.7,5.2,20,35,7,7,2,318,,,,81,77
2,9,3,27929, - Mx 1553#2,2,7.2,7.1,6.3,0,20,12,13,4,318,,,,72,64
2,9,4,27938, - Mx 1553#34,2,5.7,5.8,6.3,0,20,11.5,14,5,,318,,,56,53
2,9,5,27947, - Mx 1553#63,2,5.6,6,5.7,10,30,17,15,4,,,318,,87.5,88
2,9,6,ABR 15 FS B2-R9 C6, - Goliath,2,8.2,8.1,8.6,10,10,11,12,2,318,,,,92,88
2,9,7,27964, - Mx 1553#61,2,3.5,3.6,2.8,5,15,5.5,3,2,,,,,6,
2,9,8,27972, - Mx 1553#45,2,5,3.9,5.2,0,45,14,13,6,318,,,318,35,37
2,9,9,27980, - Mx 1553#12,2,5.2,5.2,4.7,0,30,18,18,14,318,,,,77,70
2,9,10,27989, - Mx 1553#105,2,4,6.1,6.7,20,30,8,12,2,318,,,,85,88
2,9,11,27996, - Mx 1553#120,2,5,3.9,4.6,0,30,11,17,12,,,,,35.5,
2,9,12,28005, - Mx 1553#19,2,7.5,5.9,6.6,0,30,14.5,12,4,,318,,,79,83.5
3,1,1,28006, - Mx 1553#116,3,5.6,5.2,5.8,10,30,24,20,10,,,,,35,
3,1,2,28015, - Mx 1553#91,3,5.2,6.5,4.8,5,20,11,9,1,,,,318,31,
3,1,3,28023, - Mx 1553#96,3,5.3,5.2,7.8,0,60,13,11,4,,318,,,66,61
3,1,4,28032, - Mx 1553#14,3,4.8,4.6,4.9,30,60,10.5,11,8,318,,,,74,68
3,1,5,28040, - Mx 1553#73,3,3.4,4.8,6.5,5,30,14,16,6,,,318,,83,88
3,1,6,28049, - Mx 1553#79,3,7,6.5,6.4,0,20,20,21,4,318,,,,94,87
3,1,7,28056, - Mx 1553#51,3,4.6,4.1,5.2,0,30,16,17,9,,,,318,30,
3,1,8,28065, - Mx 1553#46,3,6.6,6.4,6.8,15,30,11,11,2,318,,,,62,45
3,1,9,28074, - Mx 1553#56,3,6.5,7.2,5.7,0,10,18,15,4,318,,,,87,90
3,1,10,28083, - Mx 1553#3,3,8.2,6.2,6.5,5,20,12,16,6,,,,,46,
3,1,11,28092, - Mx 1553#32,3,5.5,3.4,4.7,10,30,14.5,16,4,,,,,37,
3,1,12,28101, - Mx 1553#68,3,5.7,6.9,5.6,10,40,12,10,1,318,,,,88,84
3,2,12,28102, - Mx 1553#5,3,8.3,3.6,3.1,10,30,8,3,1,,,,318,6,
3,2,11,28093, - Mx 1553#55,3,9.4,8.4,9.2,15,30,27,23,3,,318,,318,81.5,82
3,2,10,28084, - Mx 1553#70,3,5,4.6,5.9,0,25,24,21,7,318,,,,87,88
3,2,9,28075, - Mx 1553#24,3,7,7,5.6,20,20,14,15,3,318,,,,91,84
3,2,8,28066, - Mx 1553#93,3,4.9,5.2,6,0,20,19.5,19,6,,318,,,95,89
3,2,7,28057, - Mx 1553#113,3,6,5.6,6.77,0,30,23,18,3,,,318,318,88,86
3,2,6,28050, - Mx 1553#48,3,5.8,5.9,5.8,5,30,10.5,11,4,,,,318,42,
3,2,5,28041, - Mx 1553#9,3,2.9,3.1,3.6,0,10,7,5,4,,,,,19,
3,2,4,28033, - Mx 1553#57,3,6.7,4.6,5.7,20,45,16,17,1,,,318,,59,62
3,2,3,ABR 15 FS B3-R2 C3, - Mx 1553#78,3,0,,,0,,1,1,-9999,-9999,-9999,-9999,-9999,0,
3,2,2,28016, - Mx 1553#108,3,4.4,8.1,6,5,40,12,15,2,,318,,,70,68
3,2,1,28007, - Mx 1553#23,3,6.6,7,8.6,0,30,15,19,3,,,318,,87,84
3,3,1,28008, - Mx 1553#101,3,7.1,6,7.5,10,30,11,11,4,318,,,,111,117
3,3,2,ABR 15 FS B3-R3 C2, - Goliath,3,6.7,7.5,5.7,0,5,12.5,10,1,318,,,,63,61
3,3,3,28025, - Mx 1553#34,3,4.8,4.4,8.1,20,45,13,11,8,,318,,,53,54
3,3,4,ABR 15 FS B3-R3 C4, - Goliath,3,9,8,10.5,0,10,5,8,4,318,,,318,76,82
3,3,5,28042, - Mx 1553#119,3,6.9,5.3,6.3,10,20,26,22,4,,318,,,76,69
3,3,6,28051, - Mx 1553#2,3,5.7,7.3,6.9,20,20,23,16,2,318,,,,75,72
3,3,7,28058, - Mx 1553#37,3,8.1,9,6.2,10,20,20,17,3,318,,,,75,66
3,3,8,28067, - Mx 1553#28,3,5.2,5.7,6.8,0,10,12,9,4,318,,,,68,50
3,3,9,28076, - Mx 1553#47,3,5.4,4.7,6.1,0,30,23.5,21,8,,,,318,67,55
3,3,10,28085, - Mx 1553#87,3,6.5,6.4,5.2,10,15,9.5,12,4,,,318,318,75,
3,3,11,28094, - Mx 1553#80,3,4,5.5,5.5,0,45,14,15,3,,,,,72,73
3,3,12,28103, - Mx 1553#41,3,6.8,6.2,4.5,20,45,23,23,5,318,,,,67,
3,4,12,28104, - Mx 1553#110,3,5.7,4,6,0,10,25,20,4,,,,,86,80
3,4,11,28095, - Mx 1553#75,3,5.6,6.6,8.3,0,20,18,17,1,,,318,,42,
3,4,10,28086, - Mx 1553#117,3,5.5,6,5.2,0,30,20,22,3,318,,,,72,73
3,4,9,28077, - Mx 1553#7,3,5.2,5.4,4.5,10,25,15,15,4,,318,,318,70.5,70
3,4,8,28068, - Mx 1553#115,3,5.6,4.8,3.4,30,,12,10,1,,,,,87,87
3,4,7,28059, - Mx 1553#103,3,7.1,6.1,7.1,0,30,35,31,2,,318,,,71,74
3,4,6,28052, - Mx 1553#43,3,5.8,5.5,5.4,10,25,25,22,6,,,,,108,107
