,,,,,,,Stem,Stem,Stem,stemdiameter,Clump,Transect,Tallest Stem,,,Flowering Intensity,,,Senesced
1,2,5,27836, - Mx 1553#43,1,,5.54,5.9,5.47,5.64,300,19,187,210,218,,,y,y
1,2,4,27828, - Mx 1553#3,1,,4.41,5.24,5.55,5.07,290,20,84,87,,y,,,y
1,2,3,27820, - Mx 1553#116,1,,4.62,3.89,3.93,4.15,340,27,82,83,,y,,,y
1,2,2,27811, - Mx 1553#55,1,,5.37,5.93,6.11,5.8,330,12,179,210,214,,,y,y
1,2,1,27802, - Mx 1553#12,1,,3.83,4.31,4.28,4.14,260,26,162,188,,,,y,y
1,3,1,27803, - Mx 1553#47,1,,3.93,3.52,3.96,3.8,280,31,154,173,177,,,y,y
1,3,2,27812, - Mx 1553#115,1,,4.26,4.63,4.18,4.36,290,15,137,173,176,,,y,y
1,3,3,27821, - Mx 1553#66,1,,6.11,4.19,5.23,5.18,170,10,70,79,,y,,,y
1,3,4,aBR 15 fS B1-R3 C4, - Goliath,1,,7.08,6.31,8.61,7.33,300,12,156,183,,,,y,y
1,3,5,27837, - Mx 1553#23,1,,4.79,4.84,4.43,4.69,310,24,144,173,195,,,y,y
1,3,6,27845, - Mx 1553#37,1,,4.67,4.79,4.27,4.58,470,22,147,182,190,,,y,y
1,3,7,27854, - Mx 1553#71,1,,4.46,4.17,4.27,4.3,260,10,129,153,125,,,y,y
1,3,8,27863, - Mx 1553#109,1,,4.24,5.95,5.27,5.15,280,17,152,168,,,,y,y
1,3,9,27872, - Mx 1553#89,1,,4.91,4.9,4.57,4.79,380,23,169,194,200,,,y,y
1,3,10,27880, - Mx 1553#73,1,,5.03,4.25,4.37,4.55,300,18,136,158,166,,,y,y
1,3,11,27888, - Mx 1553#7,1,,4.06,4.24,4.81,4.37,400,17,160,181,,,,y,y
1,3,12,27896, - Mx 1553#2,1,,4.8,3.96,4.48,4.41,360,18,130,162,169,,,y,y
1,4,12,27897, - Mx 1553#10,1,,4.19,5.44,4.54,4.72,430,20,185,208,213,,,y,y
1,4,11,27889, - Mx 1553#103,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,10,27881, - Mx 1553#20,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,9,27873, - Mx 1553#5,1,,5.22,4.98,4,4.73,260,17,29,30,,y,,,y
1,4,8,27864, - Mx 1553#80,1,,3.98,4.05,4.24,4.09,340,30,145,168,172,,,y,y
1,4,7,27855, - Mx 1553#86,1,,3.78,4.65,4.09,4.17,310,16,140,164,168,,,y,y
1,4,6,27846, - Mx 1553#90,1,,5.37,5.1,5.34,5.27,350,11,63,64,,y,,,y
1,4,5,27838, - Mx 1553#15,1,,5.49,4.57,4.45,4.84,600,17,187,218,,,,y,y
1,4,4,27829, - Mx 1553#32,1,,4.79,4.95,4.84,4.86,370,15,76,76,,y,,,y
1,4,3,27822, - Mx 1553#61,1,,3.41,4.19,3.79,3.8,320,21,141,160,168,,,y,y
1,4,2,27813, - Mx 1553#75,1,,3.59,4.56,4.27,4.14,290,18,109,118,122,,y,,y
1,4,1,27804, - Mx 1553#24,1,,5.17,4.86,5.09,5.04,510,30,171,190,191,,,y,y
1,5,1,27805, - Mx 1553#17,1,,5.26,5.33,5.39,5.33,230,18,161,186,,,,y,y
1,5,2,27814, - Mx 1553#97,1,,5.16,4.75,4.85,4.92,340,20,163,183,,,,y,y
1,5,3,27823, - Mx 1553#57,1,,4.72,5.68,4.52,4.97,420,20,150,180,181,,,y,y
1,5,4,27830, - Mx 1553#67,1,,4.79,4.35,4.61,4.58,300,17,123,133,138,,,y,y
1,5,5,27839, - Mx 1553#88,1,,4.6,4.93,4.14,4.56,340,23,155,178,179,,,y,y
1,5,6,27847, - Mx 1553#51,1,,5.02,4.6,4.85,4.82,330,17,117,128,129,y,,,y
1,5,7,27856, - Mx 1553#94,1,,5.6,5.79,4.38,5.26,350,18,170,197,205,,,y,y
1,5,8,27865, - Mx 1553#8,1,,4.39,4.48,4.57,4.48,500,21,138,159,160,y,,,y
1,5,9,27874, - Mx 1553#22,1,,4.96,4.92,4.34,4.74,410,20,152,182,189,,,y,y
1,5,10,27882, - Mx 1553#92,1,,4.85,4.41,5.55,4.94,600,23,187,211,214,,,y,y
1,5,11,27890, - Mx 1553#84,1,,5.92,5.19,4.72,5.28,330,14,163,190,199,,,y,y
1,5,12,27898, - Mx 1553#60,1,,4.16,3.99,4.56,4.24,290,25,145,171,,,y,,y
1,6,12,27899, - Mx 1553#82,1,,4.92,4.67,4.33,4.64,400,22,170,197,212,,,y,y
1,6,11,27891, - Mx 1553#104,1,,5.15,5.35,5.16,5.22,380,18,181,201,,,,y,y
1,6,10,27883, - Mx 1553#59,1,,4.92,4.69,2.02,3.88,490,25,136,159,165,y,,,y
1,6,9,27875, - Mx 1553#119,1,,4.81,4.7,4.66,4.72,340,24,183,204,,,,y,y
1,6,8,27866, - Mx 1553#98,1,,4.12,4.62,3.96,4.23,370,29,90,94,,y,,,y
1,6,7,27857, - Mx 1553#39,1,,4.95,5.18,5.34,5.16,290,23,162,181,188,,,y,y
1,6,6,27848, - Mx 1553#78,1,,4.89,3.77,3.34,4,140,12,26,27,,y,,,y
1,6,5,27840, - Mx 1553#118,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,4,27831, - Mx 1553#95,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,3,27824, - Mx 1553#117,1,,4.17,4.96,4.26,4.46,450,27,140,170,171,,,y,y
1,6,2,aBR 15 fS B1-R6 C2, - Mx 1553#112,1,,3.98,4.66,5.27,4.64,330,11,83,92,,y,,,y
1,6,1,27806, - Mx 1553#102,1,,5.73,4.7,5.02,5.15,530,26,165,192,,,,y,y
1,7,1,27807, - Mx 1553#76,1,,4.33,3.48,3.96,3.92,270,21,178,201,,,,y,y
1,7,2,27816, - Mx 1553#113,1,,5.03,5.04,4.51,4.86,450,23,172,203,,,,y,y
1,7,3,aBR 15 fS B1-R7 C3,Giganteus,1,,3.39,2.99,2.38,2.92,190,18,49,49,,y,,,y
1,7,4,27832, - Mx 1553#42,1,,4.44,4.61,4.34,4.46,180,11,114,132,133,,,y,y
1,7,5,27841, - Mx 1553#40,1,,3.86,4.47,4.67,4.33,260,14,104,106,,y,,,y
1,7,6,27849, - Mx 1553#68,1,,4.08,3.7,4.52,4.1,310,18,150,175,,,,y,y
1,7,7,27858, - Mx 1553#14,1,,4.49,3.85,3.83,4.06,430,17,143,173,180,,,y,y
1,7,8,27867, - Mx 1553#69,1,,4.09,4.43,4.4,4.31,310,25,181,198,199,,,y,y
1,7,9,27876, - Mx 1553#16,1,,4.64,3.86,4.77,4.42,230,23,144,164,166,,,y,y
1,7,10,27884, - Mx 1553#81,1,,4.21,3.96,5.43,4.53,350,11,127,155,,,,y,y
1,7,11,27892, - Mx 1553#26,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,12,27900, - Mx 1553#44,1,,5.38,4.9,5.09,5.12,250,17,68,70,,y,,,y
1,8,12,27901, - Mx 1553#91,1,,4.92,5.1,4.34,4.79,260,15,84,106,108,y,,,y
1,8,11,27893, - Mx 1553#99,1,,7.4,6.28,5.57,6.42,320,20,170,194,203,,,y,y
1,8,10,27885, - Mx 1553#72,1,,4.95,4.76,4.03,4.58,400,21,166,183,191,,,y,y
1,8,9,27877, - Mx 1553#18,1,,3.88,3.28,4.07,3.74,290,23,145,169,,,,y,y
1,8,8,27868, - Mx 1553#93,1,,4.35,5.4,4.66,4.8,310,18,175,212,220,,,y,y
1,8,7,27859, - Mx 1553#41,1,,5.15,5.1,3.92,4.72,300,26,153,178,182,,,y,y
1,8,6,27850, - Mx 1553#53,1,,5.34,4.38,5.16,4.96,420,22,170,195,200,,,y,y
1,8,5,27842, - Mx 1553#70,1,,4.63,4.09,4.26,4.33,270,19,184,218,221,,,y,y
1,8,4,27833, - Mx 1553#34,1,,4.86,4.59,3.45,4.3,240,28,115,131,,y,,,y
1,8,3,27825, - Mx 1553#19,1,,4.39,4.9,3.84,4.38,240,20,124,145,151,,,y,y
1,8,2,27817, - Mx 1553#108,1,,4.16,4.32,3.64,4.04,410,31,144,175,183,,,y,y
1,8,1,27808, - Mx 1553#27,1,,3.84,4.23,4.76,4.28,300,32,95,96,,y,,,y
1,9,1,27809, - Mx 1553#50,1,,4.37,3.86,3.93,4.05,250,19,93,94,,y,,,y
1,9,2,27818, - Mx 1553#11,1,,5.34,5.27,5.53,5.38,430,21,172,192,,,,y,y
1,9,3,27826, - Mx 1553#100,1,,4.62,4.79,4.81,4.74,280,17,140,173,190,,,y,y
1,9,4,27834, - Mx 1553#35,1,,4.22,4.92,3.96,4.37,360,18,112,113,,y,,,y
1,9,5,27843, - Mx 1553#46,1,,4.5,4.27,5.09,4.62,420,20,169,191,197,,,y,y
1,9,6,27851, - Mx 1553#63,1,,4.75,4.36,4.88,4.66,380,23,163,177,179,,,y,y
1,9,7,27860, - Mx 1553#9,1,,5.99,5.4,5.55,5.65,170,8,63,64,,y,,,y
1,9,8,27869, - Mx 1553#49,1,,5.29,4.7,4.77,4.92,460,27,178,202,,,,y,y
1,9,9,aBR 15 fS B1-R9 C9, - Goliath,1,,8.23,7.16,7.58,7.66,270,11,146,185,196,,,y,y
1,9,10,27886, - Mx 1553#56,1,,5.88,5.38,5.51,5.59,230,14,177,194,199,,,y,y
1,9,11,27894, - Mx 1553#87,1,,4.5,4.38,3.91,4.26,310,24,173,192,197,,y,,y
1,9,12,27902, - Mx 1553#96,1,,4.87,4.49,5.37,4.91,360,19,143,172,,,,y,y
2,1,1,27903, - Mx 1553#10,2,,3.92,4.3,3.72,3.98,460,17,178,198,,,,y,y
2,1,2,27912, - Mx 1553#59,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,27921, - Mx 1553#60,2,,4.44,4.69,3.98,4.37,340,25,132,161,,,y,,y
2,1,4,27930, - Mx 1553#55,2,,3.36,4.86,4.56,4.26,440,17,185,216,221,,,y,y
2,1,5,27939, - Mx 1553#104,2,,4.65,4.35,5.08,4.69,360,24,193,210,,,,y,y
2,1,6,27948, - Mx 1553#56,2,,5.09,4.92,4.86,4.96,370,18,181,202,207,,,y,y
2,1,7,27956, - Mx 1553#70,2,,3.98,4.6,4.9,4.49,260,25,173,206,207,,,y,y
2,1,8,aBR 15 fS B2-R1 C8, - Mx 1553#28,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,9,27973, - Mx 1553#68,2,,4.09,4.98,4.24,4.44,330,18,157,178,,,,y,y
2,1,10,27981, - Mx 1553#78,2,,4.2,3.1,3.12,3.47,130,5,35,36,,y,,,y
2,1,11,27990, - Mx 1553#94,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,12,27997, - Mx 1553#113,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,12,27998, - Mx 1553#86,2,,3.99,4.91,4.1,4.33,380,26,158,179,,,,y,y
2,2,11,27991, - Mx 1553#115,2,,4.04,4.82,4.13,4.33,300,18,165,192,193,,,y,y
2,2,10,27982, - Mx 1553#97,2,,5.32,4.44,4.29,4.68,270,16,152,183,194,,,y,y
2,2,9,27974, - Mx 1553#119,2,,4.45,3.91,4.42,4.26,410,21,184,209,,,,y,y
2,2,8,27966, - Mx 1553#40,2,,4.04,4.93,4.4,4.46,400,15,116,118,,y,,,y
2,2,7,27957, - Mx 1553#117,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,6,27949, - Mx 1553#46,2,,4.56,4.44,5.7,4.9,310,16,167,187,193,,,y,y
2,2,5,27940, - Mx 1553#96,2,,5.66,5.17,4.1,4.98,310,23,159,180,,,,y,y
2,2,4,27931, - Mx 1553#110,2,,4.77,4.21,4.42,4.47,340,19,158,180,183,,,y,y
2,2,3,27922, - Mx 1553#98,2,,3.21,3.27,3.94,3.47,400,28,108,109,,y,,,y
2,2,2,27913, - Mx 1553#89,2,,4.74,4.36,4.86,4.65,500,18,174,210,215,,,y,y
2,2,1,27904, - Mx 1553#91,2,,3.57,3.4,4.09,3.69,280,19,82,82,,y,,,y
2,3,1,27905, - Mx 1553#27,2,,4.79,4.81,5.11,4.9,310,14,97,98,,y,,,y
2,3,2,27914, - Mx 1553#4,2,,4.27,4.66,4.41,4.45,290,17,123,147,158,,,y,y
2,3,3,27923, - Mx 1553#25,2,,4.99,5.21,6.1,5.43,600,16,158,186,190,,,y,y
2,3,4,27932, - Mx 1553#118,2,,4.21,5.19,4.61,4.67,160,13,58,60,,y,,,y
2,3,5,27941, - Mx 1553#90,2,,5.25,5.18,4.87,5.1,470,19,72,73,,y,,,y
2,3,6,27950, - Mx 1553#75,2,,5.12,4.68,4.57,4.79,360,19,112,118,,y,,,y
2,3,7,27958, - Mx 1553#22,2,,4.7,4.96,4.89,4.85,460,21,149,173,,,,y,y
2,3,8,27967, - Mx 1553#103,2,,4.94,5.07,4.92,4.98,420,29,169,186,,,,y,y
2,3,9,27975, - Mx 1553#16,2,,5.07,5.49,4.56,5.04,290,14,150,173,175,,,y,y
2,3,10,27983, - Mx 1553#49,2,,5.32,5.44,5.25,5.34,370,19,192,212,,,,y,y
2,3,11,27992, - Mx 1553#92,2,,3.95,5.01,4.47,4.48,600,26,182,208,213,,,y,y
2,3,12,aBR 15 fS B2-R3 C12, - Mx 1553#100,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,12,28000, - Mx 1553#35,2,,3.95,3.8,4.22,3.99,460,20,134,136,,y,,,y
2,4,11,aBR 15 fS B2-R4 C11, - Goliath,2,,7.86,7.01,7.95,7.61,320,9,193,221,,,,y,y
2,4,10,27984, - Mx 1553#102,2,,3.78,4.47,4.23,4.16,360,16,137,173,,,,y,y
2,4,9,27976, - Mx 1553#72,2,,5.7,5.23,4.69,5.21,410,20,165,179,180,,,y,y
2,4,8,27968, - Mx 1553#79,2,,5.49,5.26,5.13,5.29,480,14,159,182,,,,y,y
2,4,7,27959, - Mx 1553#6,2,,5.07,4.39,4.34,4.6,360,13,136,169,,,,y,y
2,4,6,27951, - Mx 1553#50,2,,3.82,4.3,3.98,4.03,350,29,102,102,,y,,,y
2,4,5,27942, - Mx 1553#44,2,,4.33,4.61,4.09,4.34,320,17,77,77,,y,,,y
2,4,4,27933, - Mx 1553#39,2,,4.3,5.01,5.16,4.82,320,18,178,187,200,,,y,y
2,4,3,27924, - Mx 1553#93,2,,5.78,4.76,4.82,5.12,340,16,202,237,238,,,y,y
2,4,2,27915, - Mx 1553#84,2,,4.59,4.38,5.13,4.7,290,10,188,216,218,,,y,y
2,4,1,27906, - Mx 1553#77,2,,5.15,4.74,4.95,4.95,380,19,193,210,,,,y,y
2,5,1,27907, - Mx 1553#47,2,,4.94,5.25,5.59,5.26,290,28,174,192,197,,,y,y
2,5,2,27916, - Mx 1553#43,2,,6.14,5.33,5.98,5.82,360,22,206,232,,,,y,y
2,5,3,27925, - Mx 1553#88,2,,3.91,4.25,4.17,4.11,360,15,145,177,181,,,y,y
2,5,4,27934, - Mx 1553#108,2,,3.83,4.52,4.62,4.32,440,29,153,178,179,,,y,y
2,5,5,27943, - Mx 1553#109,2,,4.66,4.81,4.88,4.78,330,19,172,183,,,,y,y
2,5,6,27952, - Mx 1553#8,2,,5.25,5.48,4.23,4.99,510,21,139,158,159,y,,,y
2,5,7,27960, - Mx 1553#51,2,,4.53,3.96,4.28,4.26,200,21,81,81,,y,,,y
2,5,8,27969, - Mx 1553#24,2,,5.65,5.39,4.55,5.2,340,20,200,231,238,,,y,y
2,5,9,27977, - Mx 1553#14,2,,4.66,5.02,4.7,4.79,460,20,191,215,,,,y,y
2,5,10,aBR 15 fS B2-R5 C10, - Mx 1553#15,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,11,aBR 15 fS B2-R5 C11, - Mx 1553#85,2,,4.13,3.8,4.62,4.18,190,18,47,53,,y,,,y
2,5,12,28001, - Mx 1553#7,2,,4.18,4.98,4.56,4.57,350,21,166,183,,,,y,y
2,6,12,28002, - Mx 1553#87,2,,3.98,4.55,3.97,4.17,300,18,186,205,,,,y,y
2,6,11,27993, - Mx 1553#11,2,,4.71,5.02,4.35,4.69,390,13,167,195,198,,,y,y
2,6,10,27986, - Mx 1553#36,2,,5.26,5.25,5.43,5.31,370,15,187,209,211,,,y,y
2,6,9,aBR 15 fS B2-R6 C9, - Goliath,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,8,aBR 15 fS B2-R6 C8, - Goliath,2,,9.39,8.99,8.85,9.08,300,11,194,228,,,,y,y
2,6,7,27961, - Mx 1553#82,2,,4.39,4.62,4.13,4.38,620,23,186,207,219,,y,,y
2,6,6,27953, - Mx 1553#114,2,,2.44,2.77,4.08,3.1,150,19,28,32,,y,,,y
2,6,5,27944, - Mx 1553#26,2,,5.87,4.9,5.1,5.29,280,10,80,98,100,,y,,y
2,6,4,27935, - Mx 1553#3,2,,5.33,4.24,5.03,4.87,340,19,85,85,,y,,,y
2,6,3,27926, - Mx 1553#74,2,,4.11,4.83,4.78,4.57,410,15,177,203,,,,y,y
2,6,2,27917, - Mx 1553#9,2,,4.66,4.91,5.75,5.11,240,10,48,51,,y,,,y
2,6,1,27908, - Mx 1553#32,2,,4.08,4.4,4.42,4.3,350,18,94,97,,y,,,y
2,7,1,27909, - Mx 1553#18,2,,4.24,4.36,4.3,4.3,390,32,158,179,,,,y,y
2,7,2,27918, - Mx 1553#53,2,,4.87,4.62,4.79,4.76,420,13,164,192,195,,,y,y
2,7,3,27927, - Mx 1553#80,2,,4.44,3.86,4.4,4.23,370,12,151,176,,,,y,y
2,7,4,27936, - Mx 1553#17,2,,5.49,4.67,5.27,5.14,230,9,167,192,,,,y,y
2,7,5,27945, - Mx 1553#66,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,6,27954, - Mx 1553#1,2,,5.09,3.86,4.76,4.57,310,18,122,123,,y,,,y
2,7,7,27962, - Mx 1553#5,2,,3.64,2.63,2.5,2.92,130,10,32,33,,y,,,y
2,7,8,27970, - Mx 1553#101,2,,4.12,4.55,4.79,4.49,340,22,179,195,203,,y,,y
2,7,9,27978, - Mx 1553#23,2,,5.24,4.74,4.71,4.9,460,21,165,194,205,,,y,y
2,7,10,27987, - Mx 1553#41,2,,4.16,4.48,5.16,4.6,370,24,153,175,180,,,y,y
2,7,11,27994, - Mx 1553#37,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,12,28003, - Mx 1553#42,2,,5.11,4.8,5.01,4.97,340,15,132,163,,,,y,y
2,8,12,28004, - Mx 1553#48,2,,3.93,4.82,4.91,4.55,320,21,142,160,167,,y,,y
2,8,11,27995, - Mx 1553#69,2,,5.07,4.27,5.09,4.81,320,18,172,192,196,,,y,y
2,8,10,27988, - Mx 1553#116,2,,3.41,3.09,3.67,3.39,370,28,89,89,,y,,,y
2,8,9,27979, - Mx 1553#81,2,,4.62,3.52,0.4,2.85,360,10,160,193,,,,y,y
2,8,8,27971, - Mx 1553#57,2,,4.88,5.09,4.64,4.87,380,12,164,190,193,,,y,y
2,8,7,27963, - Mx 1553#73,2,,5.51,5.56,5.17,5.41,320,16,142,159,163,,,y,y
2,8,6,27955, - Mx 1553#76,2,,4.9,5.36,4.78,5.01,320,8,146,179,184,,,y,y
2,8,5,27946, - Mx 1553#112,2,,4.51,4.79,4.44,4.58,330,11,69,69,,y,,,y
2,8,4,27937, - Mx 1553#67,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,3,27928, - Mx 1553#95,2,,5.76,4.74,4.39,4.96,390,18,162,192,,,,y,y
2,8,2,27919, - Mx 1553#99,2,,5.26,6.66,5.18,5.7,340,11,162,197,195,,,y,y
2,8,1,27910, - Mx 1553#20,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,1,27911, - Mx 1553#11,2,,5.48,6.01,5.38,5.62,230,13,133,164,,,,y,y
2,9,2,27920, - Mx 1553#71,2,,4.06,4.98,4.74,4.59,380,15,150,167,169,,,y,y
2,9,3,27929, - Mx 1553#2,2,,5.08,5.53,4.67,5.09,270,12,127,149,153,,y,,y
2,9,4,27938, - Mx 1553#34,2,,4.39,3.97,3.99,4.12,370,25,134,147,149,,y,,y
2,9,5,27947, - Mx 1553#63,2,,4.23,4.9,4.75,4.63,340,21,159,175,177,,,y,y
2,9,6,aBR 15 fS B2-R9 C6, - Goliath,2,,7.15,8.81,7.8,7.92,320,11,185,211,,,,y,y
2,9,7,27964, - Mx 1553#61,2,,5.25,4.61,4.41,4.76,280,10,132,158,160,,,y,y
2,9,8,27972, - Mx 1553#45,2,,3.94,4.17,4.11,4.07,360,17,151,177,,,,y,y
2,9,9,27980, - Mx 1553#12,2,,3.66,3.88,3.03,3.52,390,28,163,202,206,,,y,y
2,9,10,27989, - Mx 1553#105,2,,5.39,5.75,5.69,5.61,260,11,202,242,250,,,y,y
2,9,11,27996, - Mx 1553#120,2,,3.96,4.05,4.07,4.03,240,20,92,109,111,y,,,y
2,9,12,28005, - Mx 1553#19,2,,4.49,4.37,4.35,4.4,320,17,128,155,165,,,y,y
3,1,1,28006, - Mx 1553#116,3,,3.2,3.65,3.41,3.42,370,30,94,95,,y,,,y
3,1,2,28015, - Mx 1553#91,3,,3.96,4.48,3.53,3.99,150,11,93,119,123,y,,,y
3,1,3,28023, - Mx 1553#96,3,,5.05,4,3.99,4.35,210,12,102,132,,,,y,y
3,1,4,28032, - Mx 1553#14,3,,4.8,4.09,4.52,4.47,420,16,156,186,,,,y,y
3,1,5,28040, - Mx 1553#73,3,,5.71,4.39,4.56,4.89,280,20,149,164,,,,y,y
3,1,6,28049, - Mx 1553#79,3,,5.5,5.25,4.44,5.06,350,13,156,189,,,,y,y
3,1,7,28056, - Mx 1553#51,3,,4.71,4.69,4.9,4.77,240,15,103,114,115,y,,,y
3,1,8,28065, - Mx 1553#46,3,,5.6,4.69,5.23,5.17,580,16,156,177,188,,,y,y
3,1,9,28074, - Mx 1553#56,3,,5.34,4.77,4.83,4.98,330,13,171,193,195,,,y,y
3,1,10,28083, - Mx 1553#3,3,,4.91,5.86,5.31,5.36,260,17,92,93,,y,,,y
3,1,11,28092, - Mx 1553#32,3,,4.25,4.54,4.28,4.36,360,16,63,64,,y,,,y
3,1,12,28101, - Mx 1553#68,3,,4.84,4.22,5.11,4.72,360,12,141,166,167,,,y,y
3,2,12,28102, - Mx 1553#5,3,,3,2.09,3.33,2.81,240,6,24,26,,y,,,y
3,2,11,28093, - Mx 1553#55,3,,5.31,4.12,4.86,4.76,430,17,184,206,,,,y,y
3,2,10,28084, - Mx 1553#70,3,,6.08,4.78,4.89,5.25,380,21,190,219,221,,,y,y
3,2,9,28075, - Mx 1553#24,3,,5.11,5.32,4.32,4.92,390,15,178,205,206,,,y,y
3,2,8,28066, - Mx 1553#93,3,,5.1,5.33,5.47,5.3,320,17,191,223,,,,y,y
3,2,7,28057, - Mx 1553#113,3,,4.25,4.48,4.47,4.4,420,14,167,200,,,,y,y
3,2,6,28050, - Mx 1553#48,3,,4.28,4.49,6.32,5.03,410,20,154,169,173,,y,,y
3,2,5,28041, - Mx 1553#9,3,,4.63,4.65,3.97,4.42,80,8,45,48,,y,,,y
3,2,4,28033, - Mx 1553#57,3,,4.71,4.77,4.31,4.6,430,9,142,176,177,,,y,y
3,2,3,aBR 15 fS B3-R2 C3, - Mx 1553#78,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,28016, - Mx 1553#108,3,,5.24,4.46,4.03,4.58,310,16,143,172,175,,,y,y
3,2,1,28007, - Mx 1553#23,3,,4.93,4.21,5.41,4.85,370,26,158,183,197,,,y,y
3,3,1,28008, - Mx 1553#101,3,,4.98,3.59,4.14,4.24,260,17,174,197,202,,y,,y
3,3,2,aBR 15 fS B3-R3 C2, - Goliath,3,,7.1,7.92,7.17,7.4,300,13,179,204,,,,y,y
3,3,3,28025, - Mx 1553#34,3,,3.63,3.56,4.82,4,300,26,117,131,132,,y,,y
3,3,4,aBR 15 fS B3-R3 C4, - Goliath,3,,6.88,7.76,8.61,7.75,260,8,166,197,,,,y,y
3,3,5,28042, - Mx 1553#119,3,,5.09,5.13,5.05,5.09,290,21,183,200,,,,y,y
3,3,6,28051, - Mx 1553#2,3,,4.99,4.75,4.46,4.73,340,16,149,168,174,,,y,y
3,3,7,28058, - Mx 1553#37,3,,5.02,4.41,5.12,4.85,530,21,148,184,196,,,y,y
3,3,8,28067, - Mx 1553#28,3,,4.31,4.08,4.44,4.28,300,16,164,185,,,y,,y
3,3,9,28076, - Mx 1553#47,3,,5.14,4.14,4.33,4.54,320,19,155,171,174,,,y,y
3,3,10,28085, - Mx 1553#87,3,,4.24,3.54,4.76,4.18,300,16,173,197,,,,y,y
3,3,11,28094, - Mx 1553#80,3,,4.65,4.71,4.13,4.5,360,19,148,174,176,,,y,y
3,3,12,28103, - Mx 1553#41,3,,3.68,4.08,4.3,4.02,410,25,145,165,170,,,y,y
